;Greyscale Conversion;Generate Histogram;Bubble Conversion;Quicksort Conversion
320x214;110000000ns;15000000ns;42000000ns;32000000ns
640x360;47000000ns;16000000ns;89000000ns;47000000ns
640x427;63000000ns;31000000ns;131000000ns;50000000ns
1024x1024;203000000ns;47000000ns;740000000ns;193000000ns
1536x1536;402000000ns;103000000ns;2247000000ns;432000000ns
