;Greyscale Conversion;Generate Histogram;Bubble Conversion;Quicksort Conversion
320x214;132000000ns;6000000ns;32000000ns;18000000ns
640x360;29000000ns;9000000ns;52000000ns;37000000ns
640x427;43000000ns;11000000ns;82000000ns;45000000ns
1024x1024;144000000ns;34000000ns;386000000ns;150000000ns
1536x1536;302000000ns;70000000ns;1089000000ns;323000000ns
